id,course_id,title,category,module,level,number,description,is_active,competency
715,20,Dasar-dasar HTML INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M1P1,1,,TRUE,"Mengenal struktur dasar dokumen HTML (doctype, html, head, body);Memahami fungsi tag heading dan paragraf;Mengenal perbedaan protokol HTTP dan HTTPS;Membuat dan menyimpan file HTML pertama;Membuka dan memeriksa kode HTML di browser"
716,20,Bekerja dengan teks dan gambar INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M1P2,2,,TRUE,"Menggunakan tag pemformatan teks (b, i, u, strong, em);Menyisipkan gambar menggunakan tag img dengan atribut src dan alt;Menerapkan properti gaya dasar: color, background-color, font-size, font-family, width, height;Mengatur perataan teks dan memusatkan elemen gambar"
717,20,Bekerja dengan tabel INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M1P3,3,,TRUE,"Membuat tabel dengan struktur tag table, tr, th, dan td;Mengatur header dan baris data pada tabel;Menggabungkan sel tabel menggunakan atribut colspan dan rowspan;Menerapkan styling border, padding, dan zebra striping pada tabel"
718,20,Pembuatan situs web kartu nama INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M1P4,4,,TRUE,Merancang struktur halaman situs web kartu nama (profil diri);Menggabungkan teks informasi kontak dan foto profil secara harmonis;Menata blok konten agar rapi dan mudah dibaca;Menerapkan prinsip desain web modern sederhana
719,20,Pemilih dan kelas INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P1,5,,TRUE,"Memahami cara menghubungkan file CSS eksternal ke HTML;Menggunakan pemilih tag (element selector), class selector (.), dan id selector (#);Menerapkan aturan pewarisan (inheritance) dan spesifisitas CSS;Mengatur tipografi dan pewarnaan elemen dengan class"
720,20,Pemilih kombinasi INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P2,6,,TRUE,"Memahami dan menggunakan descendant selector, child selector (>), adjacent sibling (+), dan general sibling (~);Menggabungkan beberapa selector untuk penargetan elemen yang presisi;Mengelola struktur CSS agar terorganisir dan efisien;Mencegah konflik styling antar komponen HTML"
721,20,Wadah dan pseudokelas INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P3,7,,TRUE,"Memahami konsep CSS Box Model (content, padding, border, margin);Menggunakan pseudo-class seperti :hover, :active, :focus, :first-child, dan :nth-child;Mengatur tata letak container pembungkus konten (div, section);Membuat efek interaktif pada tombol dan link saat disentuh kursor"
722,20,Figma dan flexbox INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P4,8,,TRUE,"Membaca dan mengekstrak aset serta ukuran dari desain Figma;Memahami konsep dasar Flexbox: flex container, flex items, main axis, cross axis;Menerapkan properti flexbox: justify-content, align-items, flex-direction, flex-wrap;Membangun navbar dan layout responsif berbasis Flexbox sesuai mockup Figma"
723,20,Satuan pengukuran dan transisi INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P5,9,,TRUE,"Memahami perbedaan satuan absolut (px) dan relatif (rem, em, %, vh, vw);Memilih satuan ukuran yang tepat untuk tata letak responsif;Menerapkan properti transition (duration, timing-function, delay);Membuat animasi transisi yang halus pada perubahan warna dan ukuran"
724,20,Tata Letak dengan Grid INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P6,10,,TRUE,"Memahami konsep CSS Grid Layout (grid container, grid items, track, gap);Mendefinisikan kolom dan baris dengan grid-template-columns dan grid-template-rows;Menggunakan unit fraksional (fr) dan fungsi repeat();Merancang tata letak galeri dan dashboard yang kompleks dan responsif"
725,20,Animasi dalam CSS INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P7,11,,TRUE,"Mendefinisikan keyframe animasi menggunakan aturan @keyframes;Menerapkan properti animation: name, duration, timing-function, delay, iteration-count, direction;Menggunakan transformasi 2D/3D (transform: scale, rotate, translate);Membuat efek animasi loading spinner dan kartu interaktif"
726,20,Bagian dari tim – bagian dari kapal INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M2P8,12,,TRUE,"Melakukan slicing desain web secara utuh dari layout kompleks;Menerapkan metodologi penamaan CSS (seperti BEM) untuk kerapihan kode;Mengintegrasikan seluruh teknik styling (Flexbox, Grid, Transisi);Bekerja dengan standar konvensi penulisan kode dalam tim frontend"
727,20,Pengantar JavaScript INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M3P1,13,,TRUE,"Memahami peran JavaScript dalam pengembangan web interaktif;Menghubungkan skrip JS ke halaman HTML menggunakan tag script;Mengenal tipe data dasar (string, number, boolean, null, undefined);Mendeklarasikan variabel menggunakan let, const, dan var;Menggunakan console.log() untuk debugging dasar"
728,20,Kondisi INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M3P2,14,,TRUE,"Memahami operator perbandingan (==, ===, !=, !==, >, <, >=, <=);Menggunakan operator logika (AND &&, OR ||, NOT !);Menerapkan struktur percabangan if, else if, else;Menggunakan pernyataan switch-case dan operator ternary untuk pengambilan keputusan"
729,20,Siklus dan Array INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M3P3,15,,TRUE,"Membuat dan memanipulasi struktur data Array (push, pop, shift, unshift, slice, splice);Menggunakan perulangan for, while, dan do-while;Mengiterasi elemen array menggunakan for...of dan forEach;Mengelola kumpulan data daftar item secara dinamis"
730,20,Fungsi dalam JavaScript INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M3P4,16,,TRUE,"Mendefinisikan fungsi (function declaration dan function expression);Memahami parameter, argumen, dan nilai kembalian (return value);Mengenal sintaks Arrow Function;Memahami konsep function scope dan global scope"
731,20,Membuat konten dinamis. Bagian 1 INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M4P1,17,,TRUE,"Memahami konsep DOM (Document Object Model);Memilih elemen HTML menggunakan querySelector, querySelectorAll, getElementById;Mengubah teks dan struktur konten dengan innerText, textContent, dan innerHTML;Memanipulasi atribut elemen (setAttribute, getAttribute, classList.add/remove/toggle)"
732,20,Membuat konten dinamis. Bagian 2 INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M4P2,18,,TRUE,"Menambahkan dan menghapus elemen DOM secara dinamis (createElement, appendChild, remove);Menangani event pengguna dengan addEventListener (click, input, submit);Mencegah perilaku default formulir menggunakan event.preventDefault();Membangun aplikasi to-do list sederhana berbasis interaksi pengguna"
733,20,PBO. Bagian 1 INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M4P3,19,,TRUE,Memahami konsep dasar Pemrograman Berorientasi Objek (PBO/OOP) dalam JS;Membuat dan mengakses object literal beserta properti dan method;Menggunakan kata kunci 'this' dalam konteks objek;Membuat object menggunakan fungsi konstruktor (constructor function)
734,20,PBO. Bagian 2 INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M4P4,20,,TRUE,Mendefinisikan Class dan constructor pada JavaScript modern (ES6);Menerapkan prinsip pewarisan (inheritance) menggunakan kata kunci extends dan super;Memahami konsep enkapsulasi dan getter/setter;Membuat struktur kode aplikasi modular berbasis class
735,20,Animasi dalam JS. Bagian 1 INDO,Fundamental Frontend Development 2.0 IND,Fundamental Frontend Development 2.0 IND,M4P5,21,,TRUE,Membuat animasi berbasis JavaScript menggunakan requestAnimationFrame;Mengontrol perpindahan dan posisi elemen secara bertahap via script;Memanipulasi style CSS secara real-time dengan JS;Membuat interaksi interaktif saat kursor digerakkan (mouse tracking)
