id,course_id,title,category,module,level,number,description,is_active,competency
683,19,"Titik, garis, pola IND",Graphic Design Junior IND,Graphic Design Junior IND,M1L1,1,,TRUE,"Siswa akan mempelajari elemen visual dasar grafis raster: titik, garis, dan bentuk geometris dasar;Siswa akan memahami prinsip bobot visual, ritme, dan komposisi;Siswa akan membuat tata letak pola digital menggunakan alat editor grafis dasar"
684,19,Isi dengan warna dan tekstur IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L2,2,,TRUE,"Siswa akan mempelajari teori dasar warna, roda warna, dan palet harmoni;Siswa akan menerapkan isian warna solid, transisi gradien, dan tekstur pada objek grafis;Siswa akan berlatih memilih serta membuat palet warna yang kontras dan serasi"
685,19,Ilustrasi berlapis IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L3,3,,TRUE,"Siswa akan menguasai manajemen layer termasuk hierarki, pengaturan opasitas, dan blending mode;Siswa akan menggunakan selection tools, kuas, dan transformasi dasar untuk membuat grafis kompleks;Siswa akan menyusun ilustrasi multi-layer dengan memisahkan latar belakang, midground, dan latar depan"
686,19,Pola IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L4,4,,TRUE,Siswa akan mempelajari teknik pembuatan pola berulang dan ubin latar belakang dekoratif;Siswa akan menggabungkan berbagai bentuk geometris dan organik ke dalam kisi pola yang seimbang;Siswa akan mengekspor dan menerapkan pola kustom pada mockup dan aset desain
687,19,Siluet IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L5,5,,TRUE,"Siswa akan memahami dampak visual siluet, kontur, dan ruang negatif dalam grafis raster;Siswa akan membuat siluet karakter atau objek yang ekspresif menggunakan alat pemotong dan kontur;Siswa akan merancang komposisi kontras tinggi yang menekankan kejelasan bentuk"
688,19,Bekerja dengan warna IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L6,6,,TRUE,"Siswa akan mempelajari model warna tingkat lanjut (RGB, CMYK, HSL) dan dinamika temperatur warna;Siswa akan menguasai koreksi nada, penyesuaian saturasi, dan curves untuk penyempurnaan gambar;Siswa akan menyusun mood board yang harmonis dan palet warna terarah untuk proyek desain"
689,19,Kolase IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L7,7,,TRUE,"Siswa akan mempelajari teknik manipulasi foto digital dan komposisi kolase modern;Siswa akan menggunakan layer mask, quick selection, dan feathering untuk memadukan gambar secara mulus;Siswa akan menyusun kolase konseptual kohesif yang menggabungkan foto, tekstur, dan elemen grafis"
690,19,Desain impian IND,Graphic Design Junior IND,Graphic Design Junior IND,M1L8,8,,TRUE,"Siswa akan mengintegrasikan seluruh keterampilan grafis raster ke dalam proyek kreatif akhir;Siswa akan melakukan curah pendapat, membuat sketsa, dan menghasilkan karya digital orisinal bertema imajinatif;Siswa akan mengorganisir struktur layer dan mengekspor aset akhir beresolusi tinggi"
691,19,Mengenal grafis vektor IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L1,9,,TRUE,"Siswa akan memahami perbedaan utama antara format raster dan vektor (resolusi mandiri, path, dan anchor point);Siswa akan menguasai pen tool, node, dan alat pengeditan path dasar pada software vektor;Siswa akan membuat ikon vektor sederhana dan bentuk grafis yang dapat diskalakan"
692,19,Stilisasi teks dalam desain IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L2,10,,TRUE,"Siswa akan mempelajari dasar-dasar tipografi, klasifikasi font, kerning, dan hierarki teks;Siswa akan menerapkan penggayaan vektor, teks mengikuti path, dan kustomisasi glif pada huruf;Siswa akan merancang poster tipografi yang ekspresif atau logotipe kustom"
693,19,Potret vektor IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L3,11,,TRUE,"Siswa akan mempraktikkan teknik tracing vektor untuk mengubah foto referensi menjadi seni vektor bergaya;Siswa akan menyusun fitur wajah, bayangan, dan highlight menggunakan layer bentuk vektor dan gradien;Siswa akan menyempurnakan ketebalan garis dan pewarnaan untuk menghasilkan potret vektor yang rapi"
694,19,Membuat gambar tiga dimensi IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L4,12,,TRUE,"Siswa akan memahami proyeksi aksonometrik, isometrik, dan perspektif dalam grafis vektor;Siswa akan menerapkan gradien, sudut pencahayaan, dan drop shadow untuk menciptakan efek volume dan kedalaman 3D;Siswa akan menyusun adegan atau ilustrasi objek vektor isometrik"
695,19,Desain flat IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L5,13,,TRUE,Siswa akan menguasai prinsip dan tren estetika dari gaya flat design modern;Siswa akan mendesain ikon UI dan ilustrasi karakter yang minimalis menggunakan bentuk geometris sederhana;Siswa akan menerapkan palet warna terbatas dan kontras yang jelas untuk mencapai visual flat yang efektif
696,19,Membuat desain bergaya pixel art IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L6,14,,TRUE,"Siswa akan mengeksplorasi teknik pixel art, batasan grid, dan metode dithering;Siswa akan mendesain sprite game bergaya retro dan ikon piksel dengan palet warna terbatas;Siswa akan mengekspor aset pixel art dengan penskalaan yang tepat dan tepi yang tajam"
697,19,Seni konsep karakter IND,Graphic Design Junior IND,Graphic Design Junior IND,M2L7,15,,TRUE,"Siswa akan mempelajari alur kerja desain konsep karakter mulai dari thumbnail siluet hingga seni vektor yang detail;Siswa akan menentukan proporsi karakter, skema warna, kostum, dan aksesori khas;Siswa akan menyajikan lembar konsep karakter yang komprehensif"
