id,course_id,title,category,module,level,number,description,is_active,competency
756,21,HTML Basics ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M1L1,1,,TRUE,"Understand the basic structure of an HTML document (doctype, html, head, body);Understand the function of heading and paragraph tags;Identify the difference between HTTP and HTTPS protocols;Create and save the first HTML file;Open and inspect HTML code in the browser"
757,21,Working with Text and Images ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M1L2,2,,TRUE,"Use text formatting tags (b, i, u, strong, em);Insert images using the img tag with src and alt attributes;Apply basic style properties: color, background-color, font-size, font-family, width, height;Align text and center image elements"
758,21,Working with Tables ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M1L3,3,,TRUE,"Create tables with table, tr, th, and td tag structures;Manage headers and data rows in tables;Merge table cells using colspan and rowspan attributes;Apply styling for borders, padding, and zebra striping on tables"
759,21,Creating a Business Card Website ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M1L4,4,,TRUE,Design the page layout of a business card (personal profile) website;Harmoniously combine contact information text and profile pictures;Arrange content blocks neatly and legibly;Apply simple modern web design principles
760,21,Selectors and Classes ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L1,5,,TRUE,"Link external CSS files to HTML;Use element selectors, class selectors (.), and ID selectors (#);Apply CSS inheritance and specificity rules;Style typography and color elements using classes"
761,21,Combinator Selectors ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L2,6,,TRUE,"Understand and use descendant selectors, child selectors (>), adjacent sibling selectors (+), and general sibling selectors (~);Combine multiple selectors for precise element targeting;Manage CSS structure efficiently;Prevent styling conflicts across HTML components"
762,21,Containers and Pseudo-classes ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L3,7,,TRUE,"Understand the CSS Box Model (content, padding, border, margin);Use pseudo-classes such as :hover, :active, :focus, :first-child, and :nth-child;Structure container wrapper elements (div, section);Create interactive effects on buttons and links on hover"
763,21,Figma and Flexbox ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L4,8,,TRUE,"Inspect and export assets and dimensions from Figma designs;Understand Flexbox core concepts: flex container, flex items, main axis, cross axis;Apply Flexbox properties: justify-content, align-items, flex-direction, flex-wrap;Build responsive navbars and layouts based on Figma mockups"
764,21,Units of Measurement and Transitions ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L5,9,,TRUE,"Understand differences between absolute (px) and relative units (rem, em, %, vh, vw);Choose appropriate measurement units for responsive design;Apply transition properties (duration, timing-function, delay);Create smooth transition animations for color and size changes"
765,21,Layout with Grid ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L6,10,,TRUE,"Understand CSS Grid Layout concepts (grid container, grid items, track, gap);Define columns and rows using grid-template-columns and grid-template-rows;Use fractional units (fr) and repeat() function;Design complex and responsive gallery and dashboard layouts"
