id,course_id,title,category,module,level,number,description,is_active,competency
558,15,Langkah pertama: Mengenal komputer INDO,Digital Literasi 2.0,Digital Literasi 2.0,M1P1,1,,TRUE,Mengidentifikasi komponen fisik komputer (perangkat keras); Menyalakan dan mematikan komputer sesuai prosedur; Memahami fungsi dasar sistem operasi;
559,15,"Cetak, hapus, salin. INDO",Digital Literasi 2.0,Digital Literasi 2.0,M1P2,2,,TRUE,Menggunakan fungsi salin (copy) dan tempel (paste) pada teks atau berkas; Menghapus berkas berkas yang tidak diperlukan ke dalam recycle bin; Memahami proses dasar mencetak dokumen;
560,15,Observatorium Digital INDO,Digital Literasi 2.0,Digital Literasi 2.0,M1P3,3,,TRUE,Menjelajahi antarmuka aplikasi digital; Menggunakan peramban (browser) untuk mengakses informasi; Memahami navigasi dasar dalam lingkungan virtual;
561,15,Penyelamatan hewan mekanik INDO,Digital Literasi 2.0,Digital Literasi 2.0,M1P4,4,,TRUE,Menerapkan logika berpikir komputasional sederhana; Menyelesaikan tantangan berbasis instruksi sekuensial; Memahami pemecahan masalah (problem solving) dasar;
562,15,Kota Digital INDO,Digital Literasi 2.0,Digital Literasi 2.0,M1P5,5,,TRUE,Mengenal interaksi dan etika dalam lingkungan masyarakat digital; Menavigasi elemen simulasi pada platform digital; Memahami konsep ekosistem teknologi sederhana;
563,15,Lokakarya teknis INDO,Digital Literasi 2.0,Digital Literasi 2.0,M1P6,6,,TRUE,Mempraktikkan seluruh keterampilan dasar navigasi komputer; Melakukan troubleshooting atau penyelesaian masalah teknis ringan; Menguji fungsionalitas sistem berkas dan perangkat input;
564,15,Lokakarya Seni Pixel INDO,Digital Literasi 2.0,Digital Literasi 2.0,M2P1,7,,TRUE,Memahami konsep dasar seni pixel (pixel art); Menggunakan palet warna digital secara efektif; Membuat karakter sederhana berbasis kotak-kotak (grid);
565,15,Alat gambar ajaib INDO,Digital Literasi 2.0,Digital Literasi 2.0,M2P2,8,,TRUE,Menggunakan berbagai perangkat (tools) gambar digital; Memilih warna dan ketebalan garis yang sesuai; Membuat bentuk geometris dasar dalam editor grafis;
566,15,Lapisan Seperti Kertas Ajaib INDO,Digital Literasi 2.0,Digital Literasi 2.0,M2P3,9,,TRUE,Memahami konsep lapisan (layers) dalam pengeditan gambar; Mengatur urutan lapisan objek; Memanipulasi transparansi dan visibilitas lapisan;
567,15,Proyek «Peta Rahasia Pixel» INDO,Digital Literasi 2.0,Digital Literasi 2.0,M2P4,10,,TRUE,Menggabungkan teknik seni pixel dan penggunaan lapisan untuk proyek akhir; Mendesain peta atau latar belakang permainan secara detail; Mengembangkan kreativitas dalam pembuatan aset grafis;
568,15,"Membuat ""pass"" ke server INDO",Digital Literasi 2.0,Digital Literasi 2.0,M3P1,11,,TRUE,Menggunakan aplikasi editor teks untuk membuat dokumen baru; Memahami cara mengetik teks dengan format dasar; Mengatur keamanan dokumen sederhana;
569,15,Penyelidikan Wordy: Selamatkan server dari virus! INDO,Digital Literasi 2.0,Digital Literasi 2.0,M3P2,12,,TRUE,Melakukan pengeditan teks dan pemeriksaan ejaan (spell check); Mengidentifikasi bahaya virus dan malware pada file teks; Mengamankan data pribadi dalam dokumen;
570,15,Operasi Antivirus: Membuat sistem pertahanan INDO,Digital Literasi 2.0,Digital Literasi 2.0,M3P3,13,,TRUE,"Menggunakan fitur format teks seperti tebal, miring, dan garis bawah; Membuat sistem penomoran dan daftar (bullet points) untuk instruksi pertahanan; Menyusun dokumen teknis sederhana;"
