id,course_id,title,category,module,level,number,description,is_active,competency
651,18,"Dot, line, pattern ENG",Graphic Design Junior ENG,Graphic Design Junior ENG,M1L1,1,,TRUE,"Students will learn the core visual elements of raster graphic design: points, lines, and basic geometric forms;Students will understand visual weight, rhythm, and composition principles;Students will create digital pattern layouts using basic graphic editor tools"
652,18,Fill with color and texture ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L2,2,,TRUE,"Students will explore fundamental color theory, color wheels, and harmony palettes;Students will apply solid fills, gradient transitions, and seamless textures to graphic objects;Students will practice setting up custom swatches and contrasting color schemes"
653,18,Multilayer illustration ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L3,3,,TRUE,"Students will master layer management including hierarchies, opacity settings, and blending modes;Students will utilize selection tools, brushes, and basic transformations to construct complex graphics;Students will compose a multi-layered illustration separating background, midground, and foreground"
654,18,Patterns ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L4,4,,TRUE,Students will learn the mechanics of creating repeating patterns and decorative background tiles;Students will combine various geometric and organic shapes into balanced pattern grids;Students will export and apply custom patterns to mockups and design assets
655,18,Silhouettes ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L5,5,,TRUE,"Students will understand the visual impact of silhouettes, contours, and negative space in raster graphics;Students will create expressive character or object silhouettes using clipping and contour tools;Students will design high-contrast compositions emphasizing shape clarity and recognizable forms"
656,18,Working with color ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L6,6,,TRUE,"Students will study advanced color models (RGB, CMYK, HSL) and color temperature dynamics;Students will master tonal correction, saturation adjustments, and curves for image enhancement;Students will build harmonious mood boards and targeted color palettes for design projects"
657,18,Collage ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L7,7,,TRUE,"Students will learn digital photo-manipulation and modern collage composition techniques;Students will utilize layer masks, quick selection, and feathering to seamlessly blend disparate images;Students will assemble a cohesive conceptual collage combining photographs, textures, and graphic elements"
658,18,Dream design ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M1L8,8,,TRUE,"Students will integrate all learned raster graphics skills into a comprehensive capstone creative project;Students will brainstorm, sketch, and produce an original digital artwork based on an imaginative theme;Students will prepare project files, organize layer structures, and export finalized high-resolution assets"
659,18,Getting acquainted with vector graphics ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L1,9,,TRUE,"Students will understand the core differences between raster and vector formats (resolution independence, paths, and anchors);Students will master pen, node, and basic path editing tools in vector software;Students will create simple vector icons and scalable graphic shapes"
660,18,Text stylization in design ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L2,10,,TRUE,"Students will learn the fundamentals of typography, font classifications, kerning, and hierarchy;Students will apply vector styling, path-following text, and glyph customization to lettering;Students will design an expressive typographic poster or custom logotype"
661,18,Vector portrait ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L3,11,,TRUE,"Students will practice vector tracing techniques to convert photographic references into stylized vector art;Students will construct facial features, shadows, and highlights using layered vector shapes and gradients;Students will refine line weights and color blocking to produce a polished vector portrait"
662,18,Creating three-dimensional drawings ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L4,12,,TRUE,"Students will understand axonometric, isometric, and perspective projection in vector graphics;Students will apply gradients, lighting angles, and drop shadows to simulate volume and 3D depth;Students will construct an isometric vector scene or object illustration"
663,18,Flat-design ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L5,13,,TRUE,"Students will master the principles and aesthetic trends of modern flat design;Students will design clean, minimalist UI icons and character illustrations using simplified geometric forms;Students will apply restricted color palettes and clean contrast to achieve effective flat graphics"
664,18,Creating a design in the pixel art style ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L6,14,,TRUE,"Students will explore pixel art techniques, grid constraints, and dithering methods;Students will design retro-style game sprites and pixel icons with limited color palettes;Students will export pixel art assets with proper scaling and crisp edge preservation"
665,18,Character concept art ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L7,15,,TRUE,"Students will learn the workflow of character concept design from silhouette thumbnails to refined vector art;Students will define character proportions, color schemes, costumes, and distinguishing accessories;Students will present a comprehensive character turn-around or concept sheet"
666,18,Level design for a computer game ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M2L8,16,,TRUE,"Students will design 2D game environments, modular tilesets, and environmental props;Students will balance visual aesthetics, player readability, and functional level layout;Students will assemble a complete 2D game level backdrop ready for game engine integration"
667,18,Proximity and alignment ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M3L1,17,,TRUE,"Students will understand the core layout principles of proximity, focal points, and grid alignment;Students will organize complex text and visual elements into logical, easily readable structures;Students will practice creating balanced page layouts using column grids and margins"
668,18,Repetition and Contrast ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M3L2,18,,TRUE,"Students will apply visual repetition to maintain brand consistency across multi-page layouts;Students will use scale, weight, and color contrast to emphasize key informational hierarchies;Students will design promotional flyers or banners that effectively guide the viewer's eye"
669,18,Preparing a design for printing ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M3L3,19,,TRUE,"Students will learn prepress requirements including bleed, trim marks, safe zones, and print resolution (300 DPI);Students will manage CMYK color conversion, spot colors, and font embedding;Students will export print-ready PDF files meeting industry standard specifications"
670,18,Designing an information poster ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M3L4,20,,TRUE,"Students will synthesize layout, typography, and vector illustration to create an impactful informative poster;Students will structure complex data and headlines into clear visual hierarchies;Students will finalize and prepare poster assets for both digital display and physical printing"
671,18,Introduction to 3D Modeling ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M4L1,21,,TRUE,"Students will navigate 3D viewport coordinates (X, Y, Z axes) and interface workspaces;Students will manipulate basic 3D geometric primitives (cube, sphere, cylinder) using transform tools;Students will understand basic polygon modeling concepts such as vertices, edges, and faces"
672,18,Working with space ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M4L2,22,,TRUE,"Students will set up 3D scene compositions, camera focal lengths, and spatial depth;Students will arrange multiple 3D assets to establish spatial scale and focal balance;Students will practice basic lighting setups (key, fill, and back light) in a 3D environment"
673,18,Working with non-standard shapes ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M4L3,23,,TRUE,"Students will master advanced modeling techniques including extrude, bevel, boolean operations, and subdivision surfaces;Students will model intricate, non-standard objects and curved 3D surfaces;Students will optimize mesh topology and clean up non-manifold geometry"
674,18,Creating a 3D layout ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M4L4,24,,TRUE,"Students will apply procedural textures, basic shaders, and materials to 3D models;Students will stage, light, and render a complete 3D scene or product showcase layout;Students will export final high-resolution 3D renders for graphic design integration"
675,18,Introduction to motion design ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L1,25,,TRUE,"Students will learn the core principles of animation (timing, spacing, squash & stretch, and ease);Students will navigate the motion design timeline and set up basic transform keyframes;Students will create simple object animations with smooth interpolation"
676,18,Assets ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L2,26,,TRUE,"Students will prepare, slice, and optimize 2D vector and raster assets for animation pipelines;Students will organize project asset panels, layer naming, and anchor points for efficient rigging;Students will import external graphic elements seamlessly into motion graphics software"
677,18,Clips ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L3,27,,TRUE,"Students will master multi-clip sequencing, transitions, and timeline trimming techniques;Students will synchronize animated graphical elements with audio beats and sound effects;Students will build dynamic video clip sequences using pre-compositions"
678,18,Movement scripts ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L4,28,,TRUE,"Students will understand motion paths, speed graphs, and easing curves to refine movement dynamics;Students will apply automated animation expressions and movement presets to graphic elements;Students will animate complex kinetic motion trajectories and particle-like effects"
679,18,Advertising animation ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L5,29,,TRUE,"Students will conceptualize and storyboard short animated commercial spots and promo banners;Students will animate call-to-action buttons, headline text reveals, and product spotlights;Students will produce high-impact motion ads optimized for social media platforms"
680,18,Introduction to brand identity ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L6,30,,TRUE,"Students will explore brand identity systems and guidelines in motion graphics;Students will animate brand logos, typography, and visual brand assets consistently;Students will create animated logo reveals (stingers) adhering to brand style guidelines"
681,18,Animation in web design ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,M5L7,31,,TRUE,"Students will understand micro-interactions, animated UI states, and responsive web motion;Students will design animated UI elements, interactive buttons, and page transition concepts;Students will export lightweight web animations in modern formats such as Lottie JSON and GIF"
682,18,Graduation Creating a portfolio website ENG,Graphic Design Junior ENG,Graphic Design Junior ENG,Graduation,32,,TRUE,"Students will curate and showcase their best graphic design, 3D, and motion design works;Students will design and structure a professional digital portfolio website showcasing project case studies;Students will present and defend their design portfolio demonstrating readiness for creative industry roles"
