id,course_id,title,category,module,level,number,description,is_active,competency
619,17,Introduction to Unity,Unity ENG,Unity ENG,M1L1,1,,TRUE,Knows and can navigate the Unity editor interface;Understands basic scene management and project setup;Can add primitive 3D objects and manipulate transforms
620,17,Working with game objects and prefabs,Unity ENG,Unity ENG,M1L2,2,,TRUE,"Understands the concepts of GameObjects and Components;Can create, modify, and instantiate Prefabs;Understands parent-child hierarchies and transformations"
621,17,Working with materials and textures,Unity ENG,Unity ENG,M1L3,3,,TRUE,"Understands the role of materials, textures, and shaders in Unity;Can create and apply custom Standard materials to 3D models;Knows how to configure albedo, smoothness, and normal maps"
622,17,Creative lesson. Creating a prototype,Unity ENG,Unity ENG,M1L4,4,,TRUE,"Combines 3D models, materials, and lighting to create an interactive scene;Builds and tests a playable game prototype;Knows how to organize assets and export a build"
623,17,Getting started with terrain,Unity ENG,Unity ENG,M2L1,5,,TRUE,"Knows how to create and configure Unity Terrain;Can sculpt terrain using raise, lower, and smooth tools;Understands heightmaps and terrain resolution settings"
624,17,Terrain detailing,Unity ENG,Unity ENG,M2L2,6,,TRUE,"Can apply texture layers to paint varied terrain surfaces;Knows how to add 3D trees, grass, and foliage details to terrain;Configures terrain wind zones and billboarding settings"
625,17,Lighting settings,Unity ENG,Unity ENG,M2L3,7,,TRUE,"Understands Directional, Point, Spot, and Area lights;Can configure ambient lighting, skyboxes, and environment reflections;Understands the basics of Realtime and Baked Global Illumination"
626,17,Visual and Sound Effects,Unity ENG,Unity ENG,M2L4,8,,TRUE,"Can create and configure Particle Systems for visual effects;Understands AudioSource, AudioListener, and AudioClip components;Knows how to implement 2D and 3D spatial sound"
627,17,Introduction to the C# language,Unity ENG,Unity ENG,M3L1,9,,TRUE,"Understands the role of C# scripts as MonoBehaviour components in Unity;Understands basic syntax, comments, and the Start and Update lifecycle methods;Can output messages using Debug.Log"
628,17,Variables and data types,Unity ENG,Unity ENG,M3L2,10,,TRUE,"Understands fundamental data types including int, float, string, and bool;Can declare, initialize, and modify public and private variables;Understands how serialized fields appear in the Unity Inspector"
629,17,Object classes,Unity ENG,Unity ENG,M3L3,11,,TRUE,Understands the basics of Object-Oriented Programming (OOP) classes and instances;Can create custom classes and instantiate objects in C#;Understands class members and encapsulation
630,17,Functions and methods,Unity ENG,Unity ENG,M3L4,12,,TRUE,Understands how to declare and call custom methods with parameters and return values;Knows how to write modular and reusable code logic;Understands built-in Unity callback methods
631,17,Conditional constructs,Unity ENG,Unity ENG,M3L5,13,,TRUE,"Can use if, else if, else conditions and switch statements to control game logic;Understands comparison and logical operators;Applies conditional logic to handle game rules and player state"
632,17,Player Interface,Unity ENG,Unity ENG,M3L6,14,,TRUE,"Understands Unity UI system (Canvas, TextMeshPro, Image, Button, Slider);Can connect C# script events to UI elements;Understands UI anchoring, scaling, and responsive canvas setup"
633,17,Modular development,Unity ENG,Unity ENG,M3L7,15,,TRUE,Understands principles of modular architecture and script separation of concerns;Can manage communication between different scripts using GetComponent and references;Implements clean code practices in game development
634,17,Introduction to animation,Unity ENG,Unity ENG,M4L1,16,,TRUE,Understands Unity's Animation and Animator windows;Can create basic keyframe animations for GameObject transform properties;Understands Animation Clips and Animator Controller state machines
635,17,Character animation. Part 1,Unity ENG,Unity ENG,M4L2,17,,TRUE,"Understands 3D humanoid and generic rigs, avatars, and bone hierarchies;Can import rigged 3D character models and set up an Animator Controller;Understands how to configure Idle, Walk, and Run animation states"
636,17,Character animation. Part 2,Unity ENG,Unity ENG,M4L3,18,,TRUE,"Can create and configure Blend Trees for smooth character locomotion;Can trigger animation transitions using parameters (float, bool, trigger) via C# script;Understands animation transition conditions and exit times"
637,17,Project completion Working with the Timeline,Unity ENG,Unity ENG,M4L4,19,,TRUE,"Knows how to use Unity Timeline and Cinemachine for cinematic cutscenes;Can combine audio, animation, and activation tracks;Finalizes and polishes an animated sequence"
638,17,Introduction to 2D Games,Unity ENG,Unity ENG,M5L1,20,,TRUE,"Understands 2D game workflow in Unity, Sprite Renderer, and Sprite Editor;Can configure Sorting Layers, Order in Layer, and Orthographic camera;Understands 2D coordinate space and sprite settings"
639,17,Creating a space shooter. Part 1,Unity ENG,Unity ENG,M5L2,21,,TRUE,Can implement 2D player movement and screen boundaries;Can create laser projectile prefabs and instantiate them via player input;Understands 2D Rigidbody and Collider components for physics
640,17,Creating a space shooter. Part 2,Unity ENG,Unity ENG,M5L3,22,,TRUE,"Can implement enemy spawning systems using Coroutines;Handles 2D trigger collisions for player, enemy, and bullet damage;Understands basic health systems and explosion effects"
641,17,Working with a 2D environment. Game release,Unity ENG,Unity ENG,M5L4,23,,TRUE,"Implements score tracking, game over, and restart UI flows;Optimizes 2D sprite rendering and audio for game export;Builds and publishes the finalized 2D game"
642,17,Introduction to the racing games genre,Unity ENG,Unity ENG,M6L1,24,,TRUE,"Understands mechanics of 3D vehicle physics and racing games;Can set up a 3D vehicle model with Wheel Colliders;Implements basic motor torque, steering angle, and braking inputs"
643,17,Creating obstacles. Physics engine,Unity ENG,Unity ENG,M6L2,25,,TRUE,"Understands Rigidbody physics, Physic Materials (friction, bounciness), and collisions;Creates interactive track obstacles and checkpoints;Implements lap timing and trigger detection"
644,17,Creating rivals with artificial intelligence,Unity ENG,Unity ENG,M6L3,26,,TRUE,Understands AI waypoint navigation systems and NavMesh for vehicles;Can implement AI logic to follow track waypoints and avoid obstacles;Tunes AI speed and steering behaviors for competitive gameplay
645,17,Recording a gameplay video,Unity ENG,Unity ENG,M6L4,27,,TRUE,"Knows how to set up dynamic chase cameras using Cinemachine;Can record and capture high-quality gameplay footage;Evaluates game performance, polish, and presentation"
646,17,Game in the RPG genre. Player's rotation and attack,Unity ENG,Unity ENG,M7L1,28,,TRUE,"Implements top-down 2D player movement, rotation towards cursor, and melee/ranged attacks;Handles attack animations and weapon hitboxes;Understands character state management"
647,17,Game in the RPG genre. Enemy's movement and attack,Unity ENG,Unity ENG,M7L2,29,,TRUE,"Implements enemy AI behavior including detection range, chasing, and attacking;Handles damage calculations and enemy health states;Implements enemy attack cooldowns and feedback effects"
648,17,Game in the RPG genre. Control of game level parameters,Unity ENG,Unity ENG,M7L3,30,,TRUE,"Implements Game Manager to control level states, win/lose conditions, and waves;Manages item pickups, loot drops, and inventory systems;Connects gameplay events to HUD and combat text"
649,17,Games in the RPG genre. Saving the player's progress. Leveling system,Unity ENG,Unity ENG,M7L4,31,,TRUE,"Implements player leveling, experience points (XP), and stat upgrades;Knows how to save and load player data using PlayerPrefs or JSON serialization;Builds a persistent progression loop across game sessions"
650,17,A Game Developer's Portfolio,Unity ENG,Unity ENG,Graduation,32,,TRUE,"Consolidates all game development projects into a cohesive developer portfolio;Understands project packaging, documentation, and showcase best practices;Knows how to present technical skills, gameplay demos, and source code professionally"
